implementation,n,nsweeps,workers,iteration,time_s
processes,10000,15000,2,1,0.132903
processes,100000,15000,2,1,0.559973
processes,1000000,15000,2,1,21.806321
processes,2500000,15000,2,1,64.167721
processes,4000000,15000,2,1,106.345854
processes,6000000,15000,2,1,163.832142
processes,10000,15000,2,2,0.111778
processes,100000,15000,2,2,0.494335
processes,1000000,15000,2,2,21.628768
processes,2500000,15000,2,2,63.799375
processes,4000000,15000,2,2,105.940725
processes,6000000,15000,2,2,161.848773
processes,10000,15000,2,3,0.112357
processes,100000,15000,2,3,0.486227
processes,1000000,15000,2,3,21.544144
processes,2500000,15000,2,3,63.933933
processes,4000000,15000,2,3,106.119621
processes,6000000,15000,2,3,162.017796
processes,10000,15000,2,4,0.108777
processes,100000,15000,2,4,0.469280
processes,1000000,15000,2,4,21.634824
processes,2500000,15000,2,4,64.258763
processes,4000000,15000,2,4,106.740867
processes,6000000,15000,2,4,164.557887
processes,10000,15000,2,5,0.115819
processes,100000,15000,2,5,0.488378
processes,1000000,15000,2,5,21.638406
processes,2500000,15000,2,5,63.756880
processes,4000000,15000,2,5,105.762050
processes,6000000,15000,2,5,161.664147
processes,10000,15000,2,6,0.118411
processes,100000,15000,2,6,0.495045
processes,1000000,15000,2,6,21.690495
processes,2500000,15000,2,6,63.840178
processes,4000000,15000,2,6,107.082434
processes,6000000,15000,2,6,162.715668
processes,10000,15000,2,7,0.140377
processes,100000,15000,2,7,0.533232
processes,1000000,15000,2,7,21.573283
processes,2500000,15000,2,7,64.075178
processes,4000000,15000,2,7,108.468752
processes,6000000,15000,2,7,161.701536
processes,10000,15000,2,8,0.148720
processes,100000,15000,2,8,0.516324
processes,1000000,15000,2,8,21.441282
processes,2500000,15000,2,8,63.875097
processes,4000000,15000,2,8,105.715683
processes,6000000,15000,2,8,162.256735
processes,10000,15000,2,9,0.156419
processes,100000,15000,2,9,0.484333
processes,1000000,15000,2,9,21.686231
processes,2500000,15000,2,9,64.300785
processes,4000000,15000,2,9,106.616809
processes,6000000,15000,2,9,164.518173
processes,10000,15000,2,10,0.136427
processes,100000,15000,2,10,0.518415
processes,1000000,15000,2,10,21.547625
processes,2500000,15000,2,10,64.212538
processes,4000000,15000,2,10,106.064557
processes,6000000,15000,2,10,161.683743
processes,10000,15000,4,1,0.137166
processes,100000,15000,4,1,0.433781
processes,1000000,15000,4,1,22.374515
processes,2500000,15000,4,1,66.337896
processes,4000000,15000,4,1,109.227179
processes,6000000,15000,4,1,165.117251
processes,10000,15000,4,2,0.132660
processes,100000,15000,4,2,0.400490
processes,1000000,15000,4,2,22.303936
processes,2500000,15000,4,2,66.123147
processes,4000000,15000,4,2,110.070892
processes,6000000,15000,4,2,166.118196
processes,10000,15000,4,3,0.137184
processes,100000,15000,4,3,0.450524
processes,1000000,15000,4,3,22.509766
processes,2500000,15000,4,3,68.231638
processes,4000000,15000,4,3,109.764534
processes,6000000,15000,4,3,165.720880
processes,10000,15000,4,4,0.137124
processes,100000,15000,4,4,0.416549
processes,1000000,15000,4,4,22.275850
processes,2500000,15000,4,4,68.797495
processes,4000000,15000,4,4,108.938662
processes,6000000,15000,4,4,165.001462
processes,10000,15000,4,5,0.133231
processes,100000,15000,4,5,0.388869
processes,1000000,15000,4,5,22.288844
processes,2500000,15000,4,5,65.932632
processes,4000000,15000,4,5,108.899992
processes,6000000,15000,4,5,166.386596
processes,10000,15000,4,6,0.134871
processes,100000,15000,4,6,0.400423
processes,1000000,15000,4,6,22.393644
processes,2500000,15000,4,6,66.474690
processes,4000000,15000,4,6,111.497176
processes,6000000,15000,4,6,164.937860
processes,10000,15000,4,7,0.132651
processes,100000,15000,4,7,0.417601
processes,1000000,15000,4,7,22.376661
processes,2500000,15000,4,7,66.113508
processes,4000000,15000,4,7,108.715264
processes,6000000,15000,4,7,164.586930
processes,10000,15000,4,8,0.133349
processes,100000,15000,4,8,0.376116
processes,1000000,15000,4,8,22.288207
processes,2500000,15000,4,8,66.193128
processes,4000000,15000,4,8,108.751315
processes,6000000,15000,4,8,164.949929
processes,10000,15000,4,9,0.130796
processes,100000,15000,4,9,0.369521
processes,1000000,15000,4,9,22.206719
processes,2500000,15000,4,9,66.070180
processes,4000000,15000,4,9,108.892020
processes,6000000,15000,4,9,164.870801
processes,10000,15000,4,10,0.134654
processes,100000,15000,4,10,0.368980
processes,1000000,15000,4,10,22.339675
processes,2500000,15000,4,10,66.087952
processes,4000000,15000,4,10,108.993441
processes,6000000,15000,4,10,164.588534
processes,10000,15000,8,1,0.196595
processes,100000,15000,8,1,0.447538
processes,1000000,15000,8,1,23.643619
processes,2500000,15000,8,1,70.405658
processes,4000000,15000,8,1,116.178784
processes,6000000,15000,8,1,176.415067
processes,10000,15000,8,2,0.203925
processes,100000,15000,8,2,0.424831
processes,1000000,15000,8,2,23.534884
processes,2500000,15000,8,2,70.401485
processes,4000000,15000,8,2,116.096034
processes,6000000,15000,8,2,176.460610
processes,10000,15000,8,3,0.206377
processes,100000,15000,8,3,0.474629
processes,1000000,15000,8,3,23.489969
processes,2500000,15000,8,3,70.251394
processes,4000000,15000,8,3,117.388484
processes,6000000,15000,8,3,177.592513
processes,10000,15000,8,4,0.205253
processes,100000,15000,8,4,0.486865
processes,1000000,15000,8,4,23.679539
processes,2500000,15000,8,4,72.143875
processes,4000000,15000,8,4,115.868304
processes,6000000,15000,8,4,176.569865
processes,10000,15000,8,5,0.194406
processes,100000,15000,8,5,0.471703
processes,1000000,15000,8,5,23.442314
processes,2500000,15000,8,5,70.299554
processes,4000000,15000,8,5,116.293512
processes,6000000,15000,8,5,176.332255
processes,10000,15000,8,6,0.197186
processes,100000,15000,8,6,0.489704
processes,1000000,15000,8,6,23.595183
processes,2500000,15000,8,6,75.469192
processes,4000000,15000,8,6,116.613215
processes,6000000,15000,8,6,178.763781
processes,10000,15000,8,7,0.197041
processes,100000,15000,8,7,0.467512
processes,1000000,15000,8,7,23.429960
processes,2500000,15000,8,7,70.346920
processes,4000000,15000,8,7,115.930776
processes,6000000,15000,8,7,176.515991
processes,10000,15000,8,8,0.208058
processes,100000,15000,8,8,0.421983
processes,1000000,15000,8,8,23.516358
processes,2500000,15000,8,8,70.335261
processes,4000000,15000,8,8,115.442558
processes,6000000,15000,8,8,175.993705
processes,10000,15000,8,9,0.211703
processes,100000,15000,8,9,0.434786
processes,1000000,15000,8,9,23.569514
processes,2500000,15000,8,9,70.232124
processes,4000000,15000,8,9,116.594768
processes,6000000,15000,8,9,177.821395
processes,10000,15000,8,10,0.198739
processes,100000,15000,8,10,0.409310
processes,1000000,15000,8,10,23.903712
processes,2500000,15000,8,10,72.506847
processes,4000000,15000,8,10,115.768900
processes,6000000,15000,8,10,176.243797
processes,10000,15000,16,1,0.396194
processes,100000,15000,16,1,0.668820
processes,1000000,15000,16,1,24.706140
processes,2500000,15000,16,1,70.945613
processes,4000000,15000,16,1,116.643447
processes,6000000,15000,16,1,177.082642
processes,10000,15000,16,2,0.396870
processes,100000,15000,16,2,0.654216
processes,1000000,15000,16,2,24.622816
processes,2500000,15000,16,2,71.052743
processes,4000000,15000,16,2,116.665731
processes,6000000,15000,16,2,176.717558
processes,10000,15000,16,3,0.389565
processes,100000,15000,16,3,0.636188
processes,1000000,15000,16,3,24.628572
processes,2500000,15000,16,3,70.761222
processes,4000000,15000,16,3,116.286040
processes,6000000,15000,16,3,176.644395
processes,10000,15000,16,4,0.389191
processes,100000,15000,16,4,0.650646
processes,1000000,15000,16,4,24.726314
processes,2500000,15000,16,4,70.712865
processes,4000000,15000,16,4,116.714438
processes,6000000,15000,16,4,176.936980
processes,10000,15000,16,5,0.368264
processes,100000,15000,16,5,0.604225
processes,1000000,15000,16,5,25.163762
processes,2500000,15000,16,5,70.945239
processes,4000000,15000,16,5,117.076867
processes,6000000,15000,16,5,177.137995
processes,10000,15000,16,6,0.389563
processes,100000,15000,16,6,0.664163
processes,1000000,15000,16,6,24.784095
processes,2500000,15000,16,6,71.120368
processes,4000000,15000,16,6,116.784083
processes,6000000,15000,16,6,177.272283
processes,10000,15000,16,7,0.369796
processes,100000,15000,16,7,0.609220
processes,1000000,15000,16,7,24.814872
processes,2500000,15000,16,7,71.081994
processes,4000000,15000,16,7,115.936577
processes,6000000,15000,16,7,177.129645
processes,10000,15000,16,8,0.386743
processes,100000,15000,16,8,0.660238
processes,1000000,15000,16,8,24.653251
processes,2500000,15000,16,8,70.942755
processes,4000000,15000,16,8,116.876244
processes,6000000,15000,16,8,177.359905
processes,10000,15000,16,9,0.394099
processes,100000,15000,16,9,0.639695
processes,1000000,15000,16,9,24.624534
processes,2500000,15000,16,9,70.952040
processes,4000000,15000,16,9,116.755936
processes,6000000,15000,16,9,178.078191
processes,10000,15000,16,10,0.430663
processes,100000,15000,16,10,0.644258
processes,1000000,15000,16,10,24.695801
processes,2500000,15000,16,10,70.868923
processes,4000000,15000,16,10,116.505074
processes,6000000,15000,16,10,176.936190
processes,10000,15000,32,1,0.783425
processes,100000,15000,32,1,1.055577
processes,1000000,15000,32,1,26.319771
processes,2500000,15000,32,1,71.812440
processes,4000000,15000,32,1,116.706338
processes,6000000,15000,32,1,178.869226
processes,10000,15000,32,2,0.782620
processes,100000,15000,32,2,1.043540
processes,1000000,15000,32,2,26.150447
processes,2500000,15000,32,2,72.053269
processes,4000000,15000,32,2,117.206078
processes,6000000,15000,32,2,178.867720
processes,10000,15000,32,3,0.763724
processes,100000,15000,32,3,1.034278
processes,1000000,15000,32,3,26.212399
processes,2500000,15000,32,3,72.068024
processes,4000000,15000,32,3,117.006247
processes,6000000,15000,32,3,177.953521
processes,10000,15000,32,4,0.782858
processes,100000,15000,32,4,1.048171
processes,1000000,15000,32,4,26.158341
processes,2500000,15000,32,4,71.852423
processes,4000000,15000,32,4,117.136958
processes,6000000,15000,32,4,178.203545
processes,10000,15000,32,5,0.774247
processes,100000,15000,32,5,1.048367
processes,1000000,15000,32,5,26.089876
processes,2500000,15000,32,5,71.797448
processes,4000000,15000,32,5,116.834525
processes,6000000,15000,32,5,178.315128
processes,10000,15000,32,6,0.781691
processes,100000,15000,32,6,1.040390
processes,1000000,15000,32,6,26.266122
processes,2500000,15000,32,6,71.989391
processes,4000000,15000,32,6,116.935001
processes,6000000,15000,32,6,177.979601
processes,10000,15000,32,7,0.773523
processes,100000,15000,32,7,1.039319
processes,1000000,15000,32,7,26.194595
processes,2500000,15000,32,7,71.926692
processes,4000000,15000,32,7,117.010269
processes,6000000,15000,32,7,22824.192535
processes,10000,15000,32,8,0.779320
processes,100000,15000,32,8,1.056320
processes,1000000,15000,32,8,26.430461
processes,2500000,15000,32,8,72.523257
processes,4000000,15000,32,8,118.047521
processes,6000000,15000,32,8,179.761904
processes,10000,15000,32,9,0.788993
processes,100000,15000,32,9,1.049188
processes,1000000,15000,32,9,26.425004
processes,2500000,15000,32,9,72.558190
processes,4000000,15000,32,9,119.590178
processes,6000000,15000,32,9,180.047959
processes,10000,15000,32,10,0.724886
processes,100000,15000,32,10,0.921932
processes,1000000,15000,32,10,26.296349
processes,2500000,15000,32,10,72.269917
processes,4000000,15000,32,10,120.746172
processes,6000000,15000,32,10,179.593844
